Date,US,Japon,Korea,Brazil,US,Japon,Korea,Brazil
2010-08-31,0.058496982,0.016675133,0.632451641,0.292376244,0,0,1,0
2010-09-30,0.052451327,0.033498083,0.473634725,0.440415865,0,0,1,1
2010-10-31,0.062039733,0.032246481,0.623277141,0.282436644,0,0,1,0
2010-11-30,0.039339711,0.00519071,0.556653844,0.398815734,0,0,1,0
2010-12-31,0.050838367,0.004312861,0.615842384,0.329006386,0,0,1,0
2011-01-31,0.05863659,0.011237364,0.538373412,0.391752634,0,0,1,0
2011-02-28,0.08103404,0.019114743,0.577025066,0.322826151,0,0,1,0
2011-03-31,0.061430505,0.011775857,0.676973369,0.249820268,0,0,1,0
2011-04-30,0.079136361,0.01140631,0.593289596,0.316167731,0,0,1,0
2011-05-31,0.09943424,0.027743783,0.498519812,0.374302162,0,0,1,0
2011-06-30,0.106285571,0.006866441,0.588129045,0.298718942,0,0,1,0
2011-07-31,0.092322532,0.028163546,0.539743256,0.339770665,0,0,1,0
2011-08-31,0.070772696,0.01341135,0.575320175,0.340495779,0,0,1,0
2011-09-30,0.075487428,0.007765199,0.598698609,0.318048764,0,0,1,0
2011-10-31,0.068186227,0.030867536,0.50850502,0.392441216,0,0,1,0
2011-11-30,0.043491784,0.006664834,0.563389237,0.386454144,0,0,1,0
2011-12-31,0.09495291,0.00858871,0.504910423,0.391547957,0,0,1,0
2012-01-31,0.092620402,0.027639438,0.462452608,0.417287551,0,0,1,1
2012-02-29,0.072089361,0.02146122,0.577321351,0.329128068,0,0,1,0
2012-03-31,0.092435285,0.010471203,0.501153887,0.395939623,0,0,1,0
2012-04-30,0.094183119,0.01637623,0.57912685,0.310313801,0,0,1,0
2012-05-31,0.078035884,0.011197154,0.574305558,0.336461404,0,0,1,0
2012-06-30,0.088512483,0.015569604,0.593504441,0.302413472,0,0,1,0
2012-07-31,0.080877777,0.010866366,0.543270443,0.364985412,0,0,1,0
2012-08-31,0.084321455,0.015306878,0.494656467,0.4057152,0,0,1,0
2012-09-30,0.080204427,0.010312535,0.434157378,0.475325659,0,0,1,1
2012-10-31,0.090686878,0.024300931,0.478198388,0.406813803,0,0,1,0
2012-11-30,0.089450827,0.027721002,0.533147882,0.34968029,0,0,1,0
2012-12-31,0.144727312,0.017413538,0.437390616,0.400468534,0,0,1,0
2013-01-31,0.09860275,0.018239315,0.454922732,0.428235202,0,0,1,1
2013-02-28,0.080515524,0.039587015,0.501577073,0.378320387,0,0,1,0
2013-03-31,0.110895322,0.018898699,0.416538458,0.453667519,0,0,1,1
2013-04-30,0.127984529,0.052031265,0.494627982,0.325356224,0,1,1,0
2013-05-31,0.092582467,0.04305013,0.423523581,0.440843821,0,0,1,1
2013-06-30,0.158933052,0.026114416,0.416797805,0.398154726,0,0,1,0
2013-07-31,0.132449833,0.039153842,0.449497303,0.378899022,0,0,1,0
2013-08-31,0.17367933,0.042784651,0.439593001,0.343943018,0,0,1,0
2013-09-30,0.102974156,0.047287213,0.390642172,0.459096458,0,1,1,1
2013-10-31,0.174844485,0.049561564,0.438879353,0.336714598,0,1,1,0
2013-11-30,0.131424558,0.03695696,0.424404918,0.407213562,0,0,1,0
2013-12-31,0.163886211,0.05892493,0.416519362,0.360669497,0,1,1,0
2014-01-31,0.142990691,0.026840769,0.488866675,0.341301865,0,0,1,0
2014-02-28,0.161174249,0.082578532,0.426173134,0.330074085,0,1,1,0
2014-03-31,0.224105776,0.049478949,0.353417249,0.372998025,1,1,0,0
2014-04-30,0.14382711,0.080027891,0.396532887,0.379612111,0,1,1,0
2014-05-31,0.161155071,0.054718796,0.375888658,0.408237474,0,1,1,1
2014-06-30,0.165078298,0.060854168,0.335942466,0.438125066,0,1,0,1
2014-07-31,0.172800909,0.072180556,0.444956399,0.310062135,0,1,1,0
2014-08-31,0.116620945,0.041251409,0.451225295,0.39090235,0,0,1,0
2014-09-30,0.179171724,0.047193349,0.378839578,0.394795349,0,1,1,0
2014-10-31,0.208896166,0.022760146,0.352892435,0.415451251,1,0,0,1
2014-11-30,0.202529607,0.088131329,0.35904187,0.350297193,1,1,0,0
2014-12-31,0.186988711,0.06059484,0.381742196,0.370674251,1,1,1,0
2015-01-31,0.167626823,0.0602213,0.415121465,0.357030412,0,1,1,0
